	featureid	taxonomy	kingdom	phylum	class	order	family	genus	species
1059	otu1060	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_NK4A136_group(96);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	
1060	otu1061	Bacteria(100);Cyanobacteria(100);Melainabacteria(100);Gastranaerophilales(100);Gastranaerophilales_fa(100);Gastranaerophilales_ge(100);	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	Gastranaerophilales_fa	Gastranaerophilales_ge	
1061	otu1062	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(88);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	
1062	otu1063	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Betaproteobacteriales(100);Hydrogenophilaceae(100);Hydrogenophilus(100);	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Hydrogenophilaceae	Hydrogenophilus	
1063	otu1064	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_UCG-014(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014	
1064	otu1065	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Corynebacteriales(100);Mycobacteriaceae(100);Mycobacterium(100);	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
1065	otu1066	Bacteria(100);Firmicutes(79);Clostridia(79);Clostridiales(79);Clostridiales_vadinBB60_group(76);Clostridiales_vadinBB60_group_ge(76);	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_vadinBB60_group	Clostridiales_vadinBB60_group_ge	
1066	otu1067	Bacteria(100);Firmicutes(98);Clostridia(95);Clostridiales(95);Christensenellaceae(65);uncultured(55);	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	uncultured	
1067	otu1068	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);uncultured(64);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured	
1068	otu1069	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Caproiciproducens(59);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Caproiciproducens	
1069	otu1070	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus_1(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_1	
1070	otu1071	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(72);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	
1071	otu1072	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(99);Rhodobacteraceae(99);Paracoccus(55);	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	
1072	otu1073	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(99);Sphingomonadaceae(99);Sphingomonas(52);	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1073	otu1074	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Faecalitalea(87);	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	
1074	otu1075	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(99);Mesorhizobium(95);	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
1075	otu1076	Bacteria(99);Proteobacteria(37);Gammaproteobacteria(18);Nitrococcales(9);Halorhodospiraceae(9);Sulfurivirga(9);	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Halorhodospiraceae	Sulfurivirga	
1076	otu1077	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Faecalitalea(100);	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	
1077	otu1078	Bacteria(100);Firmicutes(99);Clostridia(99);Clostridiales(98);Ruminococcaceae(98);Ruminiclostridium_5(26);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_5	
1078	otu1079	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_vadinBB60_group(97);Clostridiales_vadinBB60_group_ge(97);	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_vadinBB60_group	Clostridiales_vadinBB60_group_ge	
1079	otu1080	Bacteria(100);Bacteroidetes(99);Bacteroidia(99);Bacteroidales(99);Rikenellaceae(97);Alistipes(70);	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
1080	otu1081	Bacteria(100);Firmicutes(80);Clostridia(74);Clostridiales(62);Clostridiaceae_1(28);Clostridiaceae_1_ge(25);	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridiaceae_1_ge	
1081	otu1082	Bacteria(100);Spirochaetes(21);Spirochaetia(21);Spirochaetales(21);Spirochaetaceae(21);Treponema(15);	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	
1082	otu1083	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Christensenellaceae(100);Christensenellaceae_R-7_group(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	
